neighborhood,year,n_permits,permits_per_sm
Calumet Heights,2018,0,0
Calumet Heights,2019,0,0
Calumet Heights,2020,0,0
Calumet Heights,2021,0,0
Canaryville,2006,1,104.99938749719145
Canaryville,2007,1,104.99938749719145
Canaryville,2008,0,0
Canaryville,2009,0,0
Canaryville,2010,0,0
Canaryville,2011,0,0
Canaryville,2012,0,0
Canaryville,2013,0,0
Canaryville,2014,0,0
Canaryville,2015,5,524.9969374859572
Canaryville,2016,0,0
Canaryville,2017,3,314.99816249157436
Canaryville,2018,0,0
Canaryville,2019,1,104.99938749719145
Canaryville,2020,0,0
Canaryville,2021,0,0
Chatham,2006,1,4.118084113367752
Chatham,2007,0,0
Chatham,2008,0,0
Chatham,2009,0,0
Chatham,2010,0,0
Chatham,2011,2,8.236168226735504
Chatham,2012,0,0
Chatham,2013,0,0
Chatham,2014,0,0
Chatham,2015,0,0
Chatham,2016,0,0
Chatham,2017,1,4.118084113367752
Chatham,2018,0,0
Chatham,2019,1,4.118084113367752
Chatham,2020,1,4.118084113367752
Chatham,2021,0,0
Chinatown,2006,0,0
Chinatown,2007,0,0
Chinatown,2008,0,0
Chinatown,2009,0,0
Chinatown,2010,1,15.338779690624602
Chinatown,2011,0,0
Chinatown,2012,1,15.338779690624602
Chinatown,2013,0,0
Chinatown,2014,0,0
Chinatown,2015,0,0
Chinatown,2016,1,15.338779690624602
Chinatown,2017,1,15.338779690624602
Chinatown,2018,0,0
Chinatown,2019,0,0
Chinatown,2020,0,0
Chinatown,2021,2,30.677559381249203
Clearing (East),2006,0,0
Clearing (East),2007,1,1889.3227848052122
Clearing (East),2008,0,0
Clearing (East),2009,0,0
Clearing (East),2010,0,0
Clearing (East),2011,0,0
Clearing (East),2012,0,0
Clearing (East),2013,0,0
Clearing (East),2014,0,0
Clearing (East),2015,0,0
Clearing (East),2016,0,0
Clearing (East),2017,0,0
Clearing (East),2018,0,0
Clearing (East),2019,0,0
Clearing (East),2020,0,0
Clearing (East),2021,0,0
Clearing (West),2006,22,202.36893093759988
Clearing (West),2007,0,0
Clearing (West),2008,0,0
Clearing (West),2009,0,0
