neighborhood,year,n_permits,permits_per_sm
Calumet Heights,2012,2,12.881132522142154
Calumet Heights,2013,0,0
Calumet Heights,2014,1,6.440566261071077
Calumet Heights,2015,0,0
Calumet Heights,2016,0,0
Calumet Heights,2017,1,6.440566261071077
Calumet Heights,2018,0,0
Calumet Heights,2019,0,0
Calumet Heights,2020,0,0
Calumet Heights,2021,0,0
Canaryville,2006,1,3.5190395031521433
Canaryville,2007,1,3.5190395031521433
Canaryville,2008,1,3.5190395031521433
Canaryville,2009,1,3.5190395031521433
Canaryville,2010,1,3.5190395031521433
Canaryville,2011,1,3.5190395031521433
Canaryville,2012,2,7.038079006304287
Canaryville,2013,2,7.038079006304287
Canaryville,2014,1,3.5190395031521433
Canaryville,2015,1,3.5190395031521433
Canaryville,2016,1,3.5190395031521433
Canaryville,2017,0,0
Canaryville,2018,1,3.5190395031521433
Canaryville,2019,1,3.5190395031521433
Canaryville,2020,0,0
Canaryville,2021,1,3.5190395031521433
Chatham,2006,0,0
Chatham,2007,1,6.122046530256234
Chatham,2008,0,0
Chatham,2009,0,0
Chatham,2010,1,6.122046530256234
Chatham,2011,0,0
Chatham,2012,0,0
Chatham,2013,0,0
Chatham,2014,0,0
Chatham,2015,0,0
Chatham,2016,0,0
Chatham,2017,0,0
Chatham,2018,1,6.122046530256234
Chatham,2019,1,6.122046530256234
Chatham,2020,0,0
Chatham,2021,0,0
Chicago Lawn,2006,5,9.3121312723297809
Chicago Lawn,2007,1,1.862426254465956
Chicago Lawn,2008,5,9.3121312723297809
Chicago Lawn,2009,3,5.587278763397868
Chicago Lawn,2010,4,7.449705017863824
Chicago Lawn,2011,10,18.624262544659562
Chicago Lawn,2012,4,7.449705017863824
Chicago Lawn,2013,6,11.174557526795736
Chicago Lawn,2014,6,11.174557526795736
Chicago Lawn,2015,9,16.761836290193603
Chicago Lawn,2016,4,7.449705017863824
Chicago Lawn,2017,2,3.724852508931912
Chicago Lawn,2018,1,1.862426254465956
Chicago Lawn,2019,2,3.724852508931912
Chicago Lawn,2020,4,7.449705017863824
Chicago Lawn,2021,1,1.862426254465956
Clearing (West),2006,3,18.344036642319512
Clearing (West),2007,1,6.1146788807731705
Clearing (West),2008,1,6.1146788807731705
Clearing (West),2009,0,0
Clearing (West),2010,1,6.1146788807731705
Clearing (West),2011,1,6.1146788807731705
Clearing (West),2012,0,0
Clearing (West),2013,2,12.229357761546341
Clearing (West),2014,1,6.1146788807731705
Clearing (West),2015,3,18.344036642319512
Clearing (West),2016,0,0
Clearing (West),2017,0,0
Clearing (West),2018,1,6.1146788807731705
Clearing (West),2019,2,12.229357761546341
Clearing (West),2020,0,0
Clearing (West),2021,0,0
Cragin,2006,15,12.734555354574487
Cragin,2007,24,20.37528856731918
Cragin,2008,15,12.734555354574487
Cragin,2009,18,15.281466425489386
Cragin,2010,15,12.734555354574487
Cragin,2011,5,4.244851784858162
Cragin,2012,15,12.734555354574487
Cragin,2013,11,9.338673926687958
Cragin,2014,8,6.79176285577306
Cragin,2015,7,5.942792498801428
Cragin,2016,9,7.640733212744693
Cragin,2017,6,5.093822141829795
Cragin,2018,5,4.244851784858162
Cragin,2019,5,4.244851784858162
Cragin,2020,9,7.640733212744693
Cragin,2021,1,0.8489703569716325
Dunning,2006,0,0
Dunning,2007,0,0
Dunning,2008,0,0
Dunning,2009,0,0
Dunning,2010,0,0
Dunning,2011,0,0
Dunning,2012,0,0
Dunning,2013,0,0
Dunning,2014,0,0
Dunning,2015,0,0
Dunning,2016,1,99.11025585121871
Dunning,2017,0,0
Dunning,2018,0,0
Dunning,2019,0,0
Dunning,2020,0,0
Dunning,2021,0,0
East Chatham,2006,0,0
East Chatham,2007,0,0
East Chatham,2008,1,4.016908915904219
East Chatham,2009,3,12.050726747712657
East Chatham,2010,1,4.016908915904219
East Chatham,2011,2,8.033817831808438
East Chatham,2012,1,4.016908915904219
East Chatham,2013,1,4.016908915904219
East Chatham,2014,1,4.016908915904219
East Chatham,2015,0,0
East Chatham,2016,2,8.033817831808438
East Chatham,2017,0,0
East Chatham,2018,0,0
East Chatham,2019,0,0
East Chatham,2020,1,4.016908915904219
East Chatham,2021,1,4.016908915904219
East Garfield Park,2006,0,0
East Garfield Park,2007,2,9.649367704257955
East Garfield Park,2008,1,4.824683852128977
East Garfield Park,2009,3,14.474051556386932
East Garfield Park,2010,1,4.824683852128977
East Garfield Park,2011,1,4.824683852128977
East Garfield Park,2012,0,0
East Garfield Park,2013,1,4.824683852128977
East Garfield Park,2014,0,0
East Garfield Park,2015,0,0
East Garfield Park,2016,1,4.824683852128977
East Garfield Park,2017,0,0
East Garfield Park,2018,2,9.649367704257955
East Garfield Park,2019,0,0
East Garfield Park,2020,0,0
East Garfield Park,2021,0,0
East Side,2006,0,0
East Side,2007,2,2.9472006952292413
East Side,2008,4,5.894401390458483
East Side,2009,2,2.9472006952292413
East Side,2010,3,4.420801042843862
East Side,2011,0,0
East Side,2012,0,0
East Side,2013,0,0
East Side,2014,2,2.9472006952292413
East Side,2015,1,1.4736003476146207
East Side,2016,0,0
East Side,2017,2,2.9472006952292413
East Side,2018,0,0
East Side,2019,2,2.9472006952292413
East Side,2020,0,0
East Side,2021,1,1.4736003476146207
Edgewater,2006,1,3.069081405276655
Edgewater,2007,2,6.13816281055331
Edgewater,2008,3,9.207244215829965
Edgewater,2009,0,0
Edgewater,2010,3,9.207244215829965
Edgewater,2011,1,3.069081405276655
Edgewater,2012,0,0
Edgewater,2013,2,6.13816281055331
Edgewater,2014,2,6.13816281055331
Edgewater,2015,0,0
Edgewater,2016,3,9.207244215829965
Edgewater,2017,1,3.069081405276655
Edgewater,2018,3,9.207244215829965
Edgewater,2019,0,0
Edgewater,2020,3,9.207244215829965
Edgewater,2021,1,3.069081405276655
Edgewater Glen,2006,1,18.3457408122929
Edgewater Glen,2007,0,0
Edgewater Glen,2008,0,0
Edgewater Glen,2009,1,18.3457408122929
Edgewater Glen,2010,0,0
Edgewater Glen,2011,0,0
Edgewater Glen,2012,0,0
Edgewater Glen,2013,0,0
Edgewater Glen,2014,1,18.3457408122929
Edgewater Glen,2015,0,0
Edgewater Glen,2016,0,0
Edgewater Glen,2017,0,0
Edgewater Glen,2018,0,0
Edgewater Glen,2019,0,0
Edgewater Glen,2020,0,0
Edgewater Glen,2021,0,0
Englewood,2006,4,1.711689599031494
Englewood,2007,4,1.711689599031494
Englewood,2008,4,1.711689599031494
Englewood,2009,8,3.423379198062988
Englewood,2010,4,1.711689599031494
Englewood,2011,7,2.9954567983051144
Englewood,2012,8,3.423379198062988
Englewood,2013,3,1.2837671992736204
Englewood,2014,5,2.1396119987893676
Englewood,2015,10,4.279223997578735
Englewood,2016,3,1.2837671992736204
Englewood,2017,2,0.855844799515747
Englewood,2018,2,0.855844799515747
Englewood,2019,3,1.2837671992736204
Englewood,2020,1,0.4279223997578735
Englewood,2021,4,1.711689599031494
Fernwood,2006,0,0
Fernwood,2007,0,0
Fernwood,2008,1,6.300451073756472
Fernwood,2009,0,0
Fernwood,2010,0,0
Fernwood,2011,0,0
Fernwood,2012,0,0
Fernwood,2013,0,0
Fernwood,2014,0,0
Fernwood,2015,1,6.300451073756472
Fernwood,2016,1,6.300451073756472
Fernwood,2017,0,0
Fernwood,2018,0,0
Fernwood,2019,0,0
Fernwood,2020,0,0
Fernwood,2021,0,0
Fuller Park,2006,0,0
Fuller Park,2007,0,0
Fuller Park,2008,1,4.309978978311888
Fuller Park,2009,1,4.309978978311888
Fuller Park,2010,1,4.309978978311888
Fuller Park,2011,0,0
Fuller Park,2012,0,0
Fuller Park,2013,0,0
Fuller Park,2014,0,0
Fuller Park,2015,0,0
Fuller Park,2016,0,0
Fuller Park,2017,0,0
Fuller Park,2018,2,8.619957956623775
Fuller Park,2019,1,4.309978978311888
Fuller Park,2020,2,8.619957956623775
Fuller Park,2021,1,4.309978978311888
Gage Park,2006,12,12.160474957334126
Gage Park,2007,17,17.22733952289001
Gage Park,2008,10,10.133729131111771
Gage Park,2009,15,15.200593696667656
Gage Park,2010,9,9.120356218000595
Gage Park,2011,4,4.053491652444708
Gage Park,2012,8,8.106983304889416
Gage Park,2013,11,11.147102044222947
Gage Park,2014,8,8.106983304889416
Gage Park,2015,11,11.147102044222947
Gage Park,2016,5,5.0668645655558855
Gage Park,2017,5,5.0668645655558855
Gage Park,2018,9,9.120356218000595
Gage Park,2019,7,7.09361039177824
Gage Park,2020,3,3.0401187393335314
Gage Park,2021,2,2.026745826222354
Galewood,2006,1,2.8223308922432535
Galewood,2007,3,8.466992676729761
Galewood,2008,1,2.8223308922432535
Galewood,2009,2,5.644661784486507
Galewood,2010,1,2.8223308922432535
Galewood,2011,2,5.644661784486507
Galewood,2012,2,5.644661784486507
Galewood,2013,0,0
Galewood,2014,2,5.644661784486507
Galewood,2015,2,5.644661784486507
Galewood,2016,2,5.644661784486507
Galewood,2017,5,14.111654461216268
Galewood,2018,1,2.8223308922432535
Galewood,2019,1,2.8223308922432535
Galewood,2020,2,5.644661784486507
Galewood,2021,1,2.8223308922432535
Garfield Ridge,2006,0,0
Garfield Ridge,2007,0,0
Garfield Ridge,2008,1,5.85899366895271
Garfield Ridge,2009,0,0
Garfield Ridge,2010,1,5.85899366895271
Garfield Ridge,2011,1,5.85899366895271
Garfield Ridge,2012,0,0
Garfield Ridge,2013,0,0
Garfield Ridge,2014,0,0
Garfield Ridge,2015,1,5.85899366895271
Garfield Ridge,2016,0,0
Garfield Ridge,2017,1,5.85899366895271
Garfield Ridge,2018,0,0
Garfield Ridge,2019,1,5.85899366895271
Garfield Ridge,2020,0,0
Garfield Ridge,2021,0,0
Gladstone Park,2006,0,0
Gladstone Park,2007,1,10.934337215399655
Gladstone Park,2008,1,10.934337215399655
Gladstone Park,2009,0,0
Gladstone Park,2010,0,0
Gladstone Park,2011,0,0
Gladstone Park,2012,0,0
Gladstone Park,2013,0,0
Gladstone Park,2014,0,0
Gladstone Park,2015,0,0
Gladstone Park,2016,0,0
Gladstone Park,2017,0,0
Gladstone Park,2018,1,10.934337215399655
Gladstone Park,2019,0,0
Gladstone Park,2020,0,0
Gladstone Park,2021,0,0
Graceland West,2006,1,11.4507192966311
Graceland West,2007,2,22.9014385932622
Graceland West,2008,1,11.4507192966311
Graceland West,2009,0,0
Graceland West,2010,1,11.4507192966311
Graceland West,2011,0,0
Graceland West,2012,1,11.4507192966311
Graceland West,2013,0,0
Graceland West,2014,1,11.4507192966311
Graceland West,2015,0,0
Graceland West,2016,0,0
Graceland West,2017,1,11.4507192966311
Graceland West,2018,1,11.4507192966311
Graceland West,2019,0,0
Graceland West,2020,1,11.4507192966311
Graceland West,2021,0,0
Grand Crossing,2006,1,2.0871840298322253
Grand Crossing,2007,0,0
Grand Crossing,2008,1,2.0871840298322253
Grand Crossing,2009,0,0
Grand Crossing,2010,0,0
Grand Crossing,2011,0,0
Grand Crossing,2012,1,2.0871840298322253
Grand Crossing,2013,2,4.174368059664451
Grand Crossing,2014,0,0
Grand Crossing,2015,1,2.0871840298322253
Grand Crossing,2016,2,4.174368059664451
Grand Crossing,2017,0,0
Grand Crossing,2018,0,0
Grand Crossing,2019,2,4.174368059664451
Grand Crossing,2020,0,0
Grand Crossing,2021,0,0
Gresham,2006,8,5.449759162837868
Gresham,2007,3,2.0436596860642005
Gresham,2008,3,2.0436596860642005
Gresham,2009,6,4.087319372128401
Gresham,2010,2,1.362439790709467
Gresham,2011,4,2.724879581418934
Gresham,2012,4,2.724879581418934
Gresham,2013,3,2.0436596860642005
Gresham,2014,6,4.087319372128401
Gresham,2015,4,2.724879581418934
Gresham,2016,3,2.0436596860642005
Gresham,2017,2,1.362439790709467
Gresham,2018,2,1.362439790709467
Gresham,2019,2,1.362439790709467
Gresham,2020,4,2.724879581418934
Gresham,2021,2,1.362439790709467
Hanson Park,2006,1,5.406380248560585
Hanson Park,2007,0,0
Hanson Park,2008,0,0
Hanson Park,2009,2,10.81276049712117
Hanson Park,2010,0,0
Hanson Park,2011,3,16.219140745681756
Hanson Park,2012,1,5.406380248560585
Hanson Park,2013,1,5.406380248560585
Hanson Park,2014,0,0
Hanson Park,2015,0,0
Hanson Park,2016,1,5.406380248560585
Hanson Park,2017,2,10.81276049712117
Hanson Park,2018,2,10.81276049712117
Hanson Park,2019,0,0
Hanson Park,2020,0,0
Hanson Park,2021,0,0
Heart of Chicago,2006,0,0
Heart of Chicago,2007,1,10.082168608517339
Heart of Chicago,2008,1,10.082168608517339
Heart of Chicago,2009,0,0
Heart of Chicago,2010,0,0
Heart of Chicago,2011,0,0
Heart of Chicago,2012,0,0
Heart of Chicago,2013,0,0
Heart of Chicago,2014,0,0
Heart of Chicago,2015,0,0
Heart of Chicago,2016,1,10.082168608517339
Heart of Chicago,2017,0,0
Heart of Chicago,2018,1,10.082168608517339
Heart of Chicago,2019,0,0
Heart of Chicago,2020,0,0
Heart of Chicago,2021,2,20.164337217034678
Heart of Italy,2006,0,0
Heart of Italy,2007,0,0
Heart of Italy,2008,0,0
Heart of Italy,2009,0,0
Heart of Italy,2010,0,0
Heart of Italy,2011,0,0
Heart of Italy,2012,0,0
Heart of Italy,2013,0,0
Heart of Italy,2014,0,0
Heart of Italy,2015,0,0
Heart of Italy,2016,1,31.741094578665354
Heart of Italy,2017,0,0
Heart of Italy,2018,0,0
Heart of Italy,2019,0,0
Heart of Italy,2020,0,0
Heart of Italy,2021,0,0
Hegewisch,2006,0,0
Hegewisch,2007,1,3.8133886528772907
Hegewisch,2008,0,0
