neighborhood,year,n_permits,permits_per_sm,treatment
East Garfield Park,2007,5,6.663642772107247,0
East Garfield Park,2008,5,6.663642772107247,0
East Garfield Park,2009,7,9.329099880950146,0
East Garfield Park,2010,19,25.321842534007537,0
East Garfield Park,2011,9,11.994556989793043,0
East Garfield Park,2012,19,25.321842534007537,0
East Garfield Park,2013,11,14.660014098635942,0
East Garfield Park,2014,8,10.661828435371595,0
East Garfield Park,2015,5,6.663642772107247,0
East Garfield Park,2016,10,13.327285544214494,0
East Garfield Park,2017,12,15.992742653057391,0
East Garfield Park,2018,6,7.9963713265286955,0
East Garfield Park,2019,8,10.661828435371595,0
East Garfield Park,2020,1,1.3327285544214493,0
East Garfield Park,2021,4,5.330914217685797,0
East Hyde Park,2006,0,0,0
East Hyde Park,2007,1,7.604794866241115,0
East Hyde Park,2008,1,7.604794866241115,0
East Hyde Park,2009,0,0,0
East Hyde Park,2010,0,0,0
East Hyde Park,2011,0,0,0
East Hyde Park,2012,0,0,0
East Hyde Park,2013,0,0,0
East Hyde Park,2014,0,0,0
East Hyde Park,2015,0,0,0
East Hyde Park,2016,0,0,0
East Hyde Park,2017,0,0,0
East Hyde Park,2018,0,0,0
East Hyde Park,2019,0,0,0
East Hyde Park,2020,0,0,0
East Hyde Park,2021,0,0,0
East Pilsen,2006,1,14.375701458069209,0
East Pilsen,2007,0,0,0
East Pilsen,2008,0,0,0
East Pilsen,2009,1,14.375701458069209,0
East Pilsen,2010,0,0,0
East Pilsen,2011,1,14.375701458069209,0
East Pilsen,2012,0,0,0
East Pilsen,2013,0,0,0
East Pilsen,2014,0,0,0
East Pilsen,2015,1,14.375701458069209,0
East Pilsen,2016,1,14.375701458069209,0
East Pilsen,2017,2,28.751402916138417,0
East Pilsen,2018,1,14.375701458069209,0
East Pilsen,2019,0,0,0
East Pilsen,2020,2,28.751402916138417,0
East Pilsen,2021,0,0,0
East Ukrainian Village,2006,12,62.08308965726978,0
East Ukrainian Village,2007,8,41.38872643817985,0
East Ukrainian Village,2008,11,56.9094988524973,0
East Ukrainian Village,2009,6,31.04154482863489,0
East Ukrainian Village,2010,4,20.694363219089926,0
East Ukrainian Village,2011,5,25.86795402386241,0
East Ukrainian Village,2012,5,25.86795402386241,0
East Ukrainian Village,2013,8,41.38872643817985,0
East Ukrainian Village,2014,6,31.04154482863489,0
East Ukrainian Village,2015,6,31.04154482863489,0
East Ukrainian Village,2016,9,46.56231724295233,0
East Ukrainian Village,2017,13,67.25668046204227,0
East Ukrainian Village,2018,12,62.08308965726978,0
East Ukrainian Village,2019,2,10.347181609544963,0
East Ukrainian Village,2020,5,25.86795402386241,0
East Ukrainian Village,2021,8,41.38872643817985,0
Eden Green,2006,0,0,0
Eden Green,2007,0,0,0
Eden Green,2008,0,0,0
Eden Green,2009,0,0,0
Eden Green,2010,1,590.7983637980911,0
Eden Green,2011,0,0,0
Eden Green,2012,0,0,0
Eden Green,2013,0,0,0
Eden Green,2014,0,0,0
Eden Green,2015,0,0,0
Eden Green,2016,0,0,0
Eden Green,2017,0,0,0
Eden Green,2018,0,0,0
Eden Green,2019,0,0,0
Eden Green,2020,0,0,0
Eden Green,2021,0,0,0
Edgewater,2006,2,62.76880712383125,0
Edgewater,2007,0,0,0
Edgewater,2008,0,0,0
Edgewater,2009,0,0,0
Edgewater,2010,0,0,0
Edgewater,2011,0,0,0
Edgewater,2012,0,0,0
Edgewater,2013,0,0,0
Edgewater,2014,1,31.384403561915626,0
Edgewater,2015,0,0,0
Edgewater,2016,0,0,0
Edgewater,2017,1,31.384403561915626,0
Edgewater,2018,0,0,0
Edgewater,2019,0,0,0
Edgewater,2020,0,0,0
Edgewater,2021,1,31.384403561915626,0
Edgewater Beach,2006,2,13.182563843012083,0
Edgewater Beach,2007,2,13.182563843012083,0
Edgewater Beach,2008,1,6.591281921506042,0
Edgewater Beach,2009,2,13.182563843012083,0
Edgewater Beach,2010,0,0,0
Edgewater Beach,2011,0,0,0
Edgewater Beach,2012,0,0,0
Edgewater Beach,2013,0,0,0
Edgewater Beach,2014,0,0,0
Edgewater Beach,2015,0,0,0
Edgewater Beach,2016,0,0,0
Edgewater Beach,2017,0,0,0
Edgewater Beach,2018,0,0,0
Edgewater Beach,2019,0,0,0
Edgewater Beach,2020,1,6.591281921506042,0
Edgewater Beach,2021,0,0,0
Edison Park,2006,1,20.521137837313493,0
Edison Park,2007,5,102.60568918656746,0
Edison Park,2008,0,0,0
Edison Park,2009,0,0,0
Edison Park,2010,3,61.563413511940475,0
Edison Park,2011,0,0,0
Edison Park,2012,0,0,0
Edison Park,2013,0,0,0
Edison Park,2014,1,20.521137837313493,0
Edison Park,2015,0,0,0
Edison Park,2016,0,0,0
Edison Park,2017,0,0,0
Edison Park,2018,1,20.521137837313493,0
Edison Park,2019,0,0,0
Edison Park,2020,0,0,0
Edison Park,2021,0,0,0
